                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93672,                0.86495,                 1.3122,                0.75452,                0.70039,                0.76599,                0.47455,                    1.2,                0.90561,                 1.5185,             0.00073181,             0.00073181,             0.00073181
                     36,                0.92589,                0.85877,                 1.3052,                 0.7752,                0.70157,                0.77027,                0.48795,                  1.185,                0.90042,                 1.5014,             0.00070431,             0.00070431,             0.00070431
                     37,                0.92156,                0.85061,                 1.2967,                0.80936,                0.68997,                0.78432,                0.49029,                 1.1891,                0.88666,                 1.5134,              0.0006768,              0.0006768,              0.0006768
                     38,                0.92016,                0.84244,                 1.2982,                0.79368,                0.72478,                 0.7939,                0.50454,                 1.1757,                0.85392,                 1.4986,              0.0006493,              0.0006493,              0.0006493
                     39,                0.91736,                0.83454,                 1.2947,                0.79569,                0.68227,                0.77727,                0.48313,                 1.1872,                0.89757,                 1.4973,             0.00062179,             0.00062179,             0.00062179
                     40,                0.90354,                 0.8189,                 1.2888,                0.78263,                 0.7168,                0.78953,                0.49761,                 1.1795,                0.86133,                  1.497,             0.00059429,             0.00059429,             0.00059429
                     41,                0.90148,                0.81952,                 1.2873,                0.77689,                0.73532,                0.80061,                 0.5131,                 1.1478,                0.82929,                  1.463,             0.00056678,             0.00056678,             0.00056678
                     42,                0.90311,                0.80521,                  1.282,                0.78661,                0.72991,                0.80216,                0.51192,                 1.1547,                0.83691,                  1.466,             0.00053927,             0.00053927,             0.00053927
                     43,                0.89887,                0.80787,                 1.2784,                0.79039,                 0.7443,                 0.8102,                0.52081,                 1.1575,                0.82064,                  1.471,             0.00051177,             0.00051177,             0.00051177
                     44,                0.88683,                0.78448,                 1.2735,                0.79194,                0.73296,                0.80643,                0.51657,                 1.1599,                0.81552,                 1.4748,             0.00048426,             0.00048426,             0.00048426
                     45,                0.87269,                0.77495,                 1.2629,                0.81079,                0.72863,                 0.8124,                0.51453,                 1.1644,                0.82217,                 1.4731,             0.00045676,             0.00045676,             0.00045676
                     46,                0.86522,                0.77702,                   1.26,                 0.8078,                0.73507,                0.81155,                0.51712,                 1.1602,                0.81447,                 1.4763,             0.00042925,             0.00042925,             0.00042925
                     47,                0.87716,                0.77084,                 1.2628,                0.80379,                0.74008,                0.81648,                 0.5213,                 1.1454,                0.79963,                 1.4624,             0.00040175,             0.00040175,             0.00040175
                     48,                0.86535,                0.76078,                  1.254,                0.80868,                0.75442,                0.82293,                0.52976,                  1.137,                0.79339,                 1.4559,             0.00037424,             0.00037424,             0.00037424
                     49,                0.86263,                0.74663,                 1.2543,                0.81279,                0.74827,                0.82058,                0.52969,                 1.1341,                0.78554,                 1.4498,             0.00034674,             0.00034674,             0.00034674
                     50,                0.85693,                0.73805,                 1.2521,                0.82145,                0.73976,                0.82372,                0.52914,                 1.1341,                0.78024,                 1.4543,             0.00031923,             0.00031923,             0.00031923
                     51,                0.86031,                 0.6662,                 1.2926,                 0.8228,                0.72625,                0.81883,                0.52046,                  1.141,                0.78937,                 1.4625,             0.00029172,             0.00029172,             0.00029172
                     52,                0.83707,                0.63933,                 1.2756,                0.81656,                0.76297,                0.83211,                0.53768,                 1.1189,                 0.7604,                 1.4436,             0.00026422,             0.00026422,             0.00026422
                     53,                0.82613,                0.61872,                 1.2592,                0.83507,                0.76434,                0.84032,                0.54625,                 1.1122,                0.74269,                 1.4336,             0.00023671,             0.00023671,             0.00023671
                     54,                0.81843,                0.61531,                 1.2563,                0.81518,                0.78371,                0.84374,                0.54788,                 1.1094,                0.73874,                 1.4307,             0.00020921,             0.00020921,             0.00020921
                     55,                0.80731,                 0.6012,                 1.2476,                0.83987,                0.76092,                0.84364,                0.55286,                 1.1018,                0.73503,                 1.4288,              0.0001817,              0.0001817,              0.0001817
                     56,                0.79701,                0.58767,                 1.2383,                0.81989,                0.77697,                0.84229,                0.55236,                  1.093,                0.73028,                 1.4171,              0.0001542,              0.0001542,              0.0001542
                     57,                0.78581,                 0.5796,                 1.2309,                0.82097,                0.77394,                0.84561,                0.55547,                 1.0928,                0.72447,                 1.4213,             0.00012669,             0.00012669,             0.00012669
                     58,                0.78435,                0.57256,                 1.2318,                0.82604,                0.77991,                0.84647,                0.55648,                 1.0953,                0.72683,                  1.426,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     59,                0.77914,                0.56679,                 1.2206,                0.83486,                0.78201,                0.85172,                0.55888,                 1.0887,                0.72169,                 1.4204,             7.1681e-05,             7.1681e-05,             7.1681e-05
                     60,                0.77535,                0.56376,                 1.2206,                0.83421,                0.77786,                0.85131,                0.55802,                 1.0906,                0.71692,                 1.4214,             4.4176e-05,             4.4176e-05,             4.4176e-05
